카테고리: 게임

월,Geo: 대한민국
2008-04,17
2008-05,18
2008-06,17
2008-07,19
2008-08,18
2008-09,15
2008-10,15
2008-11,19
2008-12,23
2009-01,22
2009-02,19
2009-03,16
2009-04,16
2009-05,17
2009-06,15
2009-07,16
2009-08,16
2009-09,13
2009-10,11
2009-11,11
2009-12,12
2010-01,11
2010-02,11
2010-03,10
2010-04,10
2010-05,10
2010-06,11
2010-07,13
2010-08,13
2010-09,28
2010-10,31
2010-11,30
2010-12,36
2011-01,45
2011-02,25
2011-03,23
2011-04,25
2011-05,28
2011-06,29
2011-07,33
2011-08,33
2011-09,32
2011-10,41
2011-11,44
2011-12,41
2012-01,63
2012-02,68
2012-03,58
2012-04,39
2012-05,37
2012-06,40
2012-07,42
2012-08,41
2012-09,41
2012-10,43
2012-11,46
2012-12,49
2013-01,47
2013-02,48
2013-03,45
2013-04,45
2013-05,43
2013-06,45
2013-07,48
2013-08,49
2013-09,47
2013-10,45
2013-11,50
2013-12,52
2014-01,50
2014-02,52
2014-03,46
2014-04,44
2014-05,47
2014-06,47
2014-07,51
2014-08,56
2014-09,49
2014-10,51
2014-11,53
2014-12,57
2015-01,56
2015-02,53
2015-03,50
2015-04,50
2015-05,51
2015-06,50
2015-07,54
2015-08,54
2015-09,48
2015-10,49
2015-11,48
2015-12,49
2016-01,58
2016-02,58
2016-03,54
2016-04,54
2016-05,59
2016-06,57
2016-07,63
2016-08,59
2016-09,57
2016-10,55
2016-11,53
2016-12,56
2017-01,60
2017-02,65
2017-03,54
2017-04,57
2017-05,56
2017-06,55
2017-07,61
2017-08,57
2017-09,55
2017-10,55
2017-11,55
2017-12,60
2018-01,62
2018-02,57
2018-03,52
2018-04,52
2018-05,54
2018-06,58
2018-07,62
2018-08,61
2018-09,58
2018-10,54
2018-11,52
2018-12,60
2019-01,57
2019-02,54
2019-03,56
2019-04,57
2019-05,56
2019-06,60
2019-07,57
2019-08,56
2019-09,58
2019-10,57
2019-11,58
2019-12,67
2020-01,65
2020-02,70
2020-03,70
2020-04,79
2020-05,75
2020-06,70
2020-07,78
2020-08,75
2020-09,82
2020-10,68
2020-11,67
2020-12,84
2021-01,81
2021-02,77
2021-03,85
2021-04,83
2021-05,83
2021-06,80
2021-07,84
2021-08,84
2021-09,84
2021-10,87
2021-11,76
2021-12,87
2022-01,65
2022-02,65
2022-03,63
2022-04,69
2022-05,68
2022-06,70
2022-07,76
2022-08,76
2022-09,71
2022-10,71
2022-11,70
2022-12,74
2023-01,73
2023-02,76
2023-03,70
2023-04,72
2023-05,78
2023-06,87
2023-07,93
2023-08,90
2023-09,86
2023-10,84
2023-11,79
2023-12,87
2024-01,93
2024-02,92
2024-03,89
2024-04,86
2024-05,85
2024-06,90
2024-07,89
2024-08,90
2024-09,86
2024-10,86
2024-11,86
2024-12,95
2025-01,94
2025-02,100
2025-03,94
2025-04,93
2025-05,99
2025-06,97
2025-07,94
2025-08,94
2025-09,82
2025-10,84
2025-11,75
2025-12,76
